Leader,Segment/Region,Motion,Metric,Value,Details
AMER,Enterprise,Expansion,Win Rate,35%,
AMER,Enterprise,Expansion,ARR,$12.60M,43% of AMER Expansion - highest contribution
AMER,Enterprise,Expansion,Top Use Cases,"Multi-Department (36%), IT (23%), HR (11%)",
AMER,Enterprise,Expansion,Motion,Multi-department expansion,Start IT expand to HR/Operations
AMER,Enterprise,Expansion,Constraint,⚠️ Product not ready for $100K+ accounts,Focus mid-market ($10K-$100K)
AMER,Enterprise,New Business,Win Rate,11%,
AMER,Enterprise,New Business,ARR,$1.60M,38% of AMER NB
AMER,Enterprise,New Business,Top Use Cases,"Multi-Department (37%), HR (25%), IT (20%)",
AMER,Enterprise,New Business,Motion,Multi-department value prop,HR as entry point
AMER,Commercial,Expansion,Win Rate,40%,Highest in AMER
AMER,Commercial,Expansion,ARR,$10.55M,36% of AMER Expansion
AMER,Commercial,Expansion,Top Use Cases,"IT (40%), Multi-Department (26%), HR (8%)",
AMER,Commercial,Expansion,Motion,IT-led with multi-department expansion,Product-ready
AMER,Commercial,New Business,Win Rate,12%,Highest in AMER for NB
AMER,Commercial,New Business,ARR,$1.51M,36% of AMER NB
AMER,Commercial,New Business,Top Use Cases,"IT (57%), Multi-Department (30%)",
AMER,Commercial,New Business,Motion,Pure IT buyer motion,Strongest NB performer
AMER,Strategic,Expansion,Win Rate,50%,Highest WR but limited scale
AMER,Strategic,Expansion,ARR,$2.35M,8% of AMER Expansion
AMER,Strategic,Expansion,Top Use Cases,"HR (63%), Services (19%), Multi-Department (5%)",
AMER,Strategic,Expansion,Motion,HR/People Ops specialist,Opportunistic - pursue when inbound
AMER,Strategic,New Business,Win Rate,7%,
AMER,Strategic,New Business,ARR,$0.04M,1% of AMER NB - negligible
AMER,Strategic,New Business,Motion,Not recommended,For proactive NB prospecting
AMER,Public Sector,Expansion,Win Rate,31%,
AMER,Public Sector,Expansion,ARR,$3.81M,13% of AMER Expansion
AMER,Public Sector,Expansion,Top Use Cases,"Multi-Department (46%), IT (28%), HR (7%)",
AMER,Public Sector,Expansion,Motion,Multi-department buyer,Heavier operational/HR focus
AMER,Public Sector,New Business,Win Rate,9%,
AMER,Public Sector,New Business,ARR,$1.01M,24% of AMER NB
AMER,Public Sector,New Business,Top Use Cases,"IT (60%), Multi-Department (34%)",
AMER,Public Sector,New Business,Motion,IT-led but lower conversion,Niche play for HR/Workforce
AMER,🎯 PRIORITY,#1 Segment,Commercial,,"Best balance: 40% Exp WR, 12% NB WR, $10.55M Exp, $1.51M NB, product-ready"
AMER,🎯 PRIORITY,#1 Use Case,IT,,"40% of Commercial expansion, 57% of Commercial NB"
AMER,🎯 PRIORITY,Expansion Path,IT → Multi-Department → HR/Operations,,
AMER,🎯 PRIORITY,Expansion Motion,IT buyer expand to multi-department,40% of deals,
AMER,🎯 PRIORITY,New Business Motion,IT-led prospecting,57% of NB deals,
EMEA,Enterprise,Expansion,Win Rate,33%,
EMEA,Enterprise,Expansion,ARR,$6.42M,60% of EMEA Expansion - highest contribution
EMEA,Enterprise,Expansion,Top Use Cases,"Operations (32%), IT (14%), HR (12%)",
EMEA,Enterprise,Expansion,Motion,Operations-heavy unique to EMEA,Multi-stakeholder
EMEA,Enterprise,Expansion,Constraint,⚠️ Product not ready for $100K+ accounts,Mid-market only
EMEA,Enterprise,New Business,Win Rate,11%,
EMEA,Enterprise,New Business,ARR,$0.75M,44% of EMEA NB
EMEA,Enterprise,New Business,Top Use Cases,"Multi-Department (34%), IT (23%), HR (16%)",
EMEA,Enterprise,New Business,Motion,Multi-department value prop,
EMEA,Commercial,Expansion,Win Rate,49%,Exceptional - nearly 1 in 2 deals won
EMEA,Commercial,Expansion,ARR,$2.03M,19% of EMEA Expansion
EMEA,Commercial,Expansion,Top Use Cases,"IT (36%), Multi-Department (15%), HR (15%)",
EMEA,Commercial,Expansion,Motion,IT-led,Best win rate in entire EMEA. Product-ready
EMEA,Commercial,New Business,Win Rate,13%,Highest in EMEA for NB
EMEA,Commercial,New Business,ARR,$0.85M,50% of EMEA NB - majority
EMEA,Commercial,New Business,Top Use Cases,"IT (56%), Multi-Department (28%)",
EMEA,Commercial,New Business,Motion,Strong IT buyer motion,Represents half of EMEA NB ARR
EMEA,Strategic,Expansion,Win Rate,50%,Excellent but limited scale
EMEA,Strategic,Expansion,ARR,$2.35M,22% of EMEA Expansion
EMEA,Strategic,Expansion,Top Use Cases,"Multi-Department (45%), HR (42%)",
EMEA,Strategic,Expansion,Motion,HR/Multi-department focus,Only 32 accounts total - opportunistic
EMEA,Strategic,New Business,Win Rate,N/A,
EMEA,Strategic,New Business,ARR,$0.11M,6% of EMEA NB - very small
EMEA,Strategic,New Business,Motion,Not recommended,For proactive NB
EMEA,🎯 PRIORITY,#1 Segment,Commercial,,"Exceptional 49% expansion WR (best in entire analysis), 13% NB WR, product-ready"
EMEA,🎯 PRIORITY,#1 Use Case,IT,,"36% of Commercial expansion, 56% of Commercial NB"
EMEA,🎯 PRIORITY,Expansion Path,IT → Multi-Department → HR,,
EMEA,🎯 PRIORITY,Expansion Motion,IT buyer nearly 50% win rate,1 in 2 deals,
EMEA,🎯 PRIORITY,New Business Motion,IT-led prospecting,56% of deals,
APAC,Enterprise,Expansion,Win Rate,28%,
APAC,Enterprise,Expansion,ARR,$0.99M,28% of APAC Expansion
APAC,Enterprise,Expansion,Top Use Cases,"IT (37%), HR (19%), Multi-Department (12%)",
APAC,Enterprise,Expansion,Motion,IT-led but weaker than Commercial,
APAC,Enterprise,Expansion,Constraint,⚠️ Product not ready for $100K+ accounts,
APAC,Enterprise,New Business,Win Rate,9%,
APAC,Enterprise,New Business,ARR,$0.31M,28% of APAC NB
APAC,Enterprise,New Business,Motion,Lower priority,Commercial outperforms
APAC,Commercial,Expansion,Win Rate,32%,Highest in APAC
APAC,Commercial,Expansion,ARR,$2.53M,72% of APAC Expansion - dominant
APAC,Commercial,Expansion,Top Use Cases,"Multi-Department (39%), IT (28%), Operations (4%)",
APAC,Commercial,Expansion,Motion,Multi-department expansion with IT entry,Dominates APAC
APAC,Commercial,New Business,Win Rate,11%,Highest in APAC for NB
APAC,Commercial,New Business,ARR,$0.79M,72% of APAC NB - dominant
APAC,Commercial,New Business,Top Use Cases,"IT (59%), Multi-Department (24%)",
APAC,Commercial,New Business,Motion,IT-led,Represents 72% of APAC NB ARR
APAC,🎯 PRIORITY,#1 Segment,Commercial,,"Dominates 72% Exp ARR + 72% NB ARR. Best WR: 32% Exp, 11% NB"
APAC,🎯 PRIORITY,#1 Use Case,Multi-Department (Exp) / IT (NB),,"Expansion: 39% multi-dept. New Business: 59% IT-led"
APAC,🎯 PRIORITY,Expansion Path,IT entry → Multi-Department expansion,,
APAC,🎯 PRIORITY,Expansion Motion,Multi-department focus IT as entry,39% of deals,
APAC,🎯 PRIORITY,New Business Motion,IT-led prospecting,59% of deals,
LATAM,Enterprise,Expansion,Win Rate,32%,
LATAM,Enterprise,Expansion,ARR,$1.76M,28% of LATAM Expansion
LATAM,Enterprise,Expansion,Top Use Cases,"Multi-Department (24%), IT (14%), HR (8%)",
LATAM,Enterprise,Expansion,Motion,Multi-department but underperforms Commercial,
LATAM,Enterprise,Expansion,Constraint,⚠️ Product not ready for $100K+ accounts,
LATAM,Enterprise,New Business,Win Rate,5%,Very low
LATAM,Enterprise,New Business,ARR,$0.20M,38% of LATAM NB
LATAM,Enterprise,New Business,Motion,Not recommended,Too low win rate
LATAM,Commercial,Expansion,Win Rate,41%,Highest in LATAM
LATAM,Commercial,Expansion,ARR,$4.51M,72% of LATAM Expansion - dominant
LATAM,Commercial,Expansion,Top Use Cases,"Multi-Department (45%), IT (16%), HR (12%)",
LATAM,Commercial,Expansion,Motion,Multi-department led,Dominates LATAM expansion (72%)
LATAM,Commercial,New Business,Win Rate,7%,Highest in LATAM for NB
LATAM,Commercial,New Business,ARR,$0.33M,62% of LATAM NB
LATAM,Commercial,New Business,Motion,Multi-department value prop,Represents 62% of LATAM NB
LATAM,🎯 PRIORITY,#1 Segment,Commercial,,"Dominates 72% Exp ARR + 62% NB ARR. Strong 41% expansion WR"
LATAM,🎯 PRIORITY,#1 Use Case,Multi-Department,,"45% of Commercial expansion, primary buyer in LATAM"
LATAM,🎯 PRIORITY,Expansion Path,Multi-Department → IT → HR,,
LATAM,🎯 PRIORITY,Expansion Motion,Multi-department buyer,45% of deals,
LATAM,🎯 PRIORITY,New Business Motion,Multi-department value prop,,
SMB,AMER,Expansion,Win Rate,39%,
SMB,AMER,Expansion,ARR,$2.56M,49% of SMB Expansion
SMB,AMER,Expansion,Top Use Cases,"Multi-Department (36%), IT (28%), HR (9%)",
SMB,AMER,Expansion,Motion,Multi-department expansion with IT entry,
SMB,AMER,New Business,Win Rate,12%,
